instance_name,t_1,a_i,hat_t_2
bur26a,1.45,-5432374,1.7748
bur26b,1.45,-3824798,1.7748
bur26c,1.43,-5427185,1.75032
bur26d,1.44,-3821474,1.76256
nug17,0.44,-1735,0.53856
nug18,0.51,-1936,0.62424
nug20,0.68,-2573,0.83232
nug21,0.77,-2444,0.94248
tai10a,0.12,-135028,0.14688
tai10b,0.12,-1183760,0.14688
tai12a,1.12,-224730,1.37088
tai12b,2.12,-39464925,2.59488
tai15a,3.12,-388910,3.81888
tai15b,4.12,-51768918,5.04288
tai20a,5.12,-709409,6.26688
tai20b,6.12,-122538448,7.49088
tai40a,7.12,-3194672,8.71488
tai40b,8.12,-644054927,9.93888
tai60a,9.12,-7367162,11.16288
tai60b,10.12,-611215466,12.38688
tai80a,11.12,-13792379,13.61088
tai80b,12.12,-836702973,14.83488
