instance,hat_t_2,hat_b_i,a_i,is_hat_b_i_smaller_than_ai
bur26a,1.57325,-5426670,-5432374,0
bur26b,1.57325,-3817852,-3824798,0
bur26c,1.55155,-5426795,-5427185,0
bur26d,1.5624,-3821239,-3821474,0
nug17,0.4774,-1734,-1735,0
nug18,0.55335,-1936,-1936,nan
nug20,0.7378,-2570,-2573,0
nug21,0.83545,-2444,-2444,nan
tai10a,0.1302,-135028,-135028,nan
tai10b,0.1302,-1183760,-1183760,nan
tai12a,1.2152,-224416,-224730,0
tai12b,2.3002,-39464925,-39464925,nan
tai15a,3.3852,-388214,-388910,0
tai15b,4.4702,-51765268,-51768918,0
tai20a,5.5552,-703482,-709409,0
tai20b,6.6402,-122455319,-122538448,0
tai40a,7.7252,-3227894,-3194672,1
tai40b,8.8102,-637470334,-644054927,0
tai60a,9.8952,-7461354,-7367162,1
tai60b,10.9802,-611833935,-611215466,1
tai80a,12.0652,-13942804,-13792379,1
tai80b,13.1502,-830729983,-836702973,0
,,,,4
