instance_name,t_1,a_i,hat_t_2
tai40a,486,-3141222,292.086
tai50a,2520,-4945266,1514.52
tai60a,4050,-7216339,2434.05
tai80a,3948,-13556691,2372.748
tai100a,2646,-21137728,1590.246
tai50b,72,-458821517,43.272
tai60b,312,-608215054,187.512
tai80b,1878,-818415043,1128.678
tai100b,816,-1185996137,490.416
tai150b,4686,-499195981,2816.286
sko100a,1338,-115534,804.138
sko100b,390,-152002,234.39
sko100c,720,-147862,432.72
sko100d,1254,-149584,753.654
sko100e,714,-149150,429.114
sko100f,1380,-149036,829.38
