instance,hat_t_2,hat_b_i,a_i,is_hat_b_i_smaller_than_ai
tai40a,308.124,-3207604,-3141222,1
tai50a,1597.68,-5042830,-4945266,1
tai60a,2567.7,-7393900,-7216339,1
tai80a,2503.032,-13840668,-13556691,1
tai100a,1677.564,-21611122,-21137728,1
tai50b,45.648,-459986202,-458821517,1
tai60b,197.808,-609946393,-608215054,1
tai80b,1190.652,-824799510,-818415043,1
tai100b,517.344,-1195646366,-1185996137,1
tai150b,2970.924,-505187740,-499195981,1
sko100a,848.292,-153082,-115534,1
sko100b,247.26,-155218,-152002,1
sko100c,456.48,-149076,-147862,1
sko100d,795.036,-150568,-149584,1
sko100e,452.676,-150638,-149150,1
sko100f,874.92,-150006,-149036,1
